コレクション型Swiftで値を保持するための変数は定数と変数です,1,正解,不正解
コレクション型宣言時に型を明示的に指定することができ、この型の部分を 型アノテーションと言います,1,正解,不正解
コレクション型定数を宣言するときはletを使用しますが、変数を使用するときはverを使用する,2,正解,不正解
配列とは、同じ型の値を順番に並べたコレクションです,1,正解,不正解
配列の追加を使う時は、tuikaを使用します2,正解,不正解
配列に別の配列の要素を入れたい場合は、contentsOF: を使用する,1,正解,不正解
insertは、任意の位置に要素を追加することができる,1,正解,不正解
配列要素の削除方法は３種類あります,2,正解,不正解
removeは、インデックスを指定して要素を削除することができる,1,正解,不正解
removeFirstは、配列の末尾の要素を削除することができます,2,正解,不正解
removeLastは、配列の先頭の要素を削除することができます,2,正解,不正解
removeAllは、配列の全ての要素を削除することができます,1,正解,不正解
配列の要素数を調べるには、countを使います,1,正解,不正解
配列が空か調べるには、isEmptyを使います,1,正解,不正解
配列とDictionary型の違いは、Dictionary型は順序を持たないコレクションです,1,正解,不正解
Dictionary型の値の削除の方法は、消したいキーを指定してnilを代入する,1,正解,不正解
集合（Set型)とは、順序を持たないコレクションで、順序が重要でない場合や、値を一意にしておく必要があるときに使用する,1,正解,不正解

